日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220831,9001,東武鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9003,相鉄ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9005,東急,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9006,京浜急行電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9007,小田急電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9008,京王電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9009,京成電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9010,富士急行,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9012,秩父鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9017,新潟交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9020,東日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,2,TOPIX Large70
20220831,9021,西日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,2,TOPIX Large70
20220831,9022,東海旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,2,TOPIX Large70
20220831,9024,西武ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9025,鴻池運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9028,ゼロ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9029,ヒガシトゥエンティワン,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9031,西日本鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9033,広島電鉄,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9034,南総通運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9036,東部ネットワーク,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9037,ハマキョウレックス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9039,サカイ引越センター,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9041,近鉄グループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9042,阪急阪神ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9044,南海電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9045,京阪ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9046,神戸電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9048,名古屋鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9049,京福電気鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9051,センコン物流,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9052,山陽電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9055,アルプス物流,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9057,遠州トラック,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9058,トランコム,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9059,カンダホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9060,日本ロジテム,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9063,岡山県貨物運送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9064,ヤマトホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9065,山九,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9066,日新,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9067,丸運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9068,丸全昭和運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9069,センコーグループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9070,トナミホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9072,ニッコンホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9073,京極運輸商事,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9074,日本石油輸送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9075,福山通運,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9076,セイノーホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9078,エスライン,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9081,神奈川中央交通,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9082,大和自動車交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9083,神姫バス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9086,日立物流,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9087,タカセ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9090,丸和運輸機関,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9099,Ｃ＆Ｆロジホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9101,日本郵船,プライム（内国株式）,5100,海運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9104,商船三井,プライム（内国株式）,5100,海運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9107,川崎汽船,プライム（内国株式）,5100,海運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9110,ＮＳユナイテッド海運,プライム（内国株式）,5100,海運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9115,明治海運,スタンダード（内国株式）,5100,海運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9119,飯野海運,プライム（内国株式）,5100,海運業,12,運輸・物流 ,6,TOPIX Small 1
20220831,9127,玉井商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流 ,-,-
20220831,9130,共栄タンカー,スタンダード（内国株式）,5100,海運業,12,運輸・物流 ,7,TOPIX Small 2
20220831,9142,九州旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9143,ＳＧホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9145,ビーイングホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流 ,-,-
20220831,9146,五健堂,PRO Market,5050,陸運業,12,運輸・物流 ,-,-
20220831,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流 ,4,TOPIX Mid400
20220831,9171,栗林商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流 ,-,-
20220831,9173,東海汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流 ,-,-
20220831,9193,東京汽船,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流 ,-,-
20220831,9201,日本航空,プライム（内国株式）,5150,空運業,12,運輸・物流 ,4,TOPIX Mid400
